Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-03-03),Price Override,Watchlist,Date Added,Notes
OzoneTCG,Pokemon,SV: 151,Venusaur ex ,198/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,109.49,0,false,2026-03-01,
OzoneTCG,Pokemon,SV: 151,Venusaur ex ,198/165,Special Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,363.38,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Base Set,Snorlax VMAX (Secret) ,206/202,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,76.95,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Arceus V ,SWSH204,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,18.06,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Blastoise VMAX ,SWSH103,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,30.87,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Charizard V ,SWSH050,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,9.8,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Greninja Star ,SWSH144,Promo,Holofoil,Ungraded,Near Mint,0.0000,3,27.18,0,false,2026-03-01,; ; 
OzoneTCG,Pokemon,Sword & Shield Promo,Marnie ,SWSH121,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,28.85,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Radiant Eevee ,SWSH230,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,16.27,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Special Delivery Pikachu ,SWSH074,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,293.52,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Vaporeon VMAX ,SWSH182,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,84.51,0,false,2026-03-01,
OzoneTCG,Pokemon,Sword & Shield Promo,Venusaur VMAX ,SWSH102,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,23.88,0,false,2026-03-01,
OzoneTCG,Pokemon,Tag Team GX All Stars,Moltres & Zapdos & Articuno GX (JP),102/173,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,21.16,0,false,2026-03-01,
OzoneTCG,Pokemon,Team Rocket,Dark Blastoise ,3,Holo Rare,1st Edition Holofoil,Ungraded,Near Mint,0.0000,1,384.71,0,false,2026-03-01,
OzoneTCG,Pokemon,Team Rocket,Dark Raichu ,83,Secret Rare,Unlimited Holofoil,Ungraded,Near Mint,0.0000,1,90.74,0,false,2026-03-01,
OzoneTCG,Pokemon,Team Rocket,Eevee ,55,Common,1st Edition,Ungraded,Near Mint,0.0000,1,6.78,0,false,2026-03-01,
OzoneTCG,Pokemon,Team Rocket (Japanese),Dark Alakazam (JP),065,Rare,Holofoil,Ungraded,Near Mint,0.0000,1,19.47,0,false,2026-03-01,
OzoneTCG,Pokemon,Terastal Festival ex,Umbreon ex (JP),217/187,Special Art Rare,Holofoil,Ungraded,Near Mint,0.0000,1,321.08,0,false,2026-03-01,
OzoneTCG,Pokemon,Triumphant,Magnezone (Prime) ,96,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,23.36,0,false,2026-03-01,
OzoneTCG,Pokemon,Twilight Masquerade,Eevee ,188/167,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,66.61,0,false,2026-03-01,; 
OzoneTCG,Pokemon,Unbroken Bonds,Greninja & Zoroark GX (201) (Full Art) ,201,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,278.94,0,false,2026-03-01,
OzoneTCG,Pokemon,Unbroken Bonds,Marshadow & Machamp GX (199) (Full Art) ,199,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,237.39,0,false,2026-03-01,
OzoneTCG,Pokemon,Unleashed,Lanturn (Prime) ,86,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,25.64,0,false,2026-03-01,
OzoneTCG,Pokemon,Unleashed,Ursaring (Prime) ,89,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,29.02,0,false,2026-03-01,
OzoneTCG,Pokemon,Unnumbered Promos (1999),Feraligatr Neo Premium file 1 (JP),160,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,25.69,0,false,2026-03-01,
OzoneTCG,Pokemon,VSTAR Universe,Arceus VSTAR (JP),262/172,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,156.28,0,false,2026-03-01,
OzoneTCG,Pokemon,VSTAR Universe,Giratina VSTAR (JP),261/172,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,161.03,0,false,2026-03-01,
OzoneTCG,Pokemon,VSTAR Universe,Origin Forme Dialga VSTAR (JP),260/172,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,120.53,0,false,2026-03-01,
OzoneTCG,Pokemon,VSTAR Universe,Origin Forme Palkia VSTAR (JP),259/172,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,98.89,0,false,2026-03-01,
OzoneTCG,Pokemon,White Flare,Reshiram ex ,166/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,151.17,0,false,2026-03-01,
OzoneTCG,Pokemon,White Flare,Terrakion ,135/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,19.58,0,false,2026-03-01,
OzoneTCG,Pokemon,WoTC Promo,Eevee ,11/53,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,48.92,0,false,2026-03-01,
OzoneTCG,Pokemon,XY - Fates Collide,Alakazam EX (Secret) ,125,Secret Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,95.16,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,Arceus  ,XY116,Promo,Holofoil,Ungraded,Lightly Played,0.0000,1,24.17,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,Charizard EX  ,XY121,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,135.27,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,M Garchomp EX  ,XY168,Promo,Holofoil,Ungraded,Lightly Played,0.0000,1,94.45,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,M Gengar EX ,XY166,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,302.7,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,M Metagross EX (Shiny) ,XY35,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,63.07,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,M Sharpedo EX  ,XY200,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,22.72,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,Palkia (Full Art Promo) ,XY75,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,47.55,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,Pikachu EX  ,XY84,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,52.27,0,false,2026-03-01,
OzoneTCG,Pokemon,XY Promos,Zekrom (Full Art Promo) ,XY76,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,82.78,0,false,2026-03-01,
